topic,Fake_Count,Real_Count,Total_Count,Fake_Percentage
14,76,2,78,97.44
11,99,12,111,89.19
1,354,72,426,83.1
10,69,43,112,61.61
0,270,170,440,61.36
15,43,29,72,59.72
6,79,64,143,55.24
12,46,44,90,51.11
4,118,125,243,48.56
2,126,134,260,48.46
16,24,40,64,37.5
9,35,80,115,30.43
8,21,103,124,16.94
5,21,173,194,10.82
13,8,78,86,9.3
7,8,126,134,5.97
3,4,245,249,1.61
